FKLuijendi;foeke;Foeke;K;Luijendijk;Voorvisser ;163;;1541 XJ;Koog aan de Zaan;06-75843809;3-21-1995;FoekeLuijendijk@fleckens.hu;11965340
JMHolub;josef;Josef;M;Holub;Holtmate ;52;;7006 DR;Doetinchem;06-49740857;5-27-1934;JosefHolub@cuvox.de;48836390
WHBuurman;wilhelmina;Wilhelmina;H;Buurman;IJsselstraat ;52;;7607 LP;Almelo;06-54735079;6-2-1928;WilhelminaBuurman@fleckens.hu;64741230
JJStehlík;jozef;Jozef;J;Stehlík;Feiko Clockstraat ;121;;9665 BD;Oude Pekela;06-32678800;8-10-1956;JozefStehlik@superrito.com;86726720
AMMortense;anna;Anna;M;Mortensen;Meentweg ;182;;3755 PD;Eemnes;06-50875800;1-14-1936;AnnaMMortensen@dayrep.com;90298500
TNNissen;torbeneen;Torben;N;Nissen;Lucas Gasselstraat ;150;;5246 CD;Rosmalen;06-31390146;5-20-2002;TorbenNNissen@superrito.com;10496968
MAĆosić;mirjana;Mirjana;A;Ćosić;Engelbert Dorsstraat ;121;;5971 VE;Grubbenvorst;06-19307154;10-10-1952;MirjanaCosic@cuvox.de;11031992
DGIvankovi;dino;Dino;G;Ivanković;Bachstraat ;75;;6561 EL;Groesbeek;06-64516758;7-26-1970;DinoIvankovic@jourrapide.com;11887801
LSJakobsen;liv;Liv;S;Jakobsen;Parsifalstraat ;141;;2555 WK;Den Haag;06-19142254;12-11-1987;LivSJakobsen@superrito.com;14389228
AVKošťál;antonín;Antonín;V;Košťál;Kloosterlaan ;113;;5435 XD;Sint Agatha;06-31296610;12-6-1923;AntoninKostal@teleworm.us;15668320
NAPavlović;nikola;Nikola;A;Pavlović;Dennenlaan ;32;;1161 CK;Zwanenburg;06-14415768;12-6-1922;NikolaPavlovic@teleworm.us;16497648
IRKlabbers;isaï;Isaï;R;Klabbers;Charley Tooropstraat ;24;;6464 BB;Kerkrade;06-62898578;6-16-1923;IsaiKlabbers@fleckens.hu;16604702
MMMrkvičko;marietwee;Marie;M;Mrkvičková;Tweede Atjehstraat ;111;;1094 LD;Amsterdam;06-79120126;10-16-1960;MarieMrkvickova@cuvox.de;17929015
JMAndresen;julieeen;Julie;M;Andresen;Wolfdriesweg ;187;;6325 PM;Berg en Terblijt;06-59851806;8-14-1982;JulieMAndresen@teleworm.us;21634105
LOČechová;lenkaeen;Lenka;O;Čechová;Molstraat ;101;;1531 CR;Wormer;06-21405124;10-1-1922;LenkaCechova@einrot.com;21841202
ZPStruijk;zion;Zion;P;Struijk;Amsteldiep ;124;;8223 XL;Lelystad;06-93586552;12-12-1983;ZionStruijk@dayrep.com;22436479
FJVařeka;františektwee;František;J;Vařeka;Kloosterweg ;143;;6631 KK;Horssen;06-48578713;9-26-1925;FrantisekVareka@einrot.com;24034228
KMOlsen;kristineeen;Kristine;M;Olsen;Acaciastraat ;197;;4043 MK;Opheusden;06-36810454;12-27-1938;KristineMOlsen@teleworm.us;24960676
MHPerić;mila;Mila;H;Perić;Aldfeartsdyk ;84;;8628 EP;Goënga;06-58115266;7-13-1927;MilaPeric@teleworm.us;28017432
SJJohnsen;stine;Stine;J;Johnsen;Gladiolenstraat ;152;;3245 CD;Sommelsdijk;06-42623181;7-25-1953;StineJJohnsen@superrito.com;30137627
FZPavlović;frane;Frane;Z;Pavlović;Taludweg ;48;;1215 AD;Hilversum;06-66923510;10-6-1996;FranePavlovic@fleckens.hu;31441580
KKVacek;kareltwee;Karel;K;Vacek;Noordsingel ;77;;4611 SE;Bergen op Zoom;06-36412764;12-11-1922;KarelVacek@jourrapide.com;32004539
TJPavlović;trpimir;Trpimir;J;Pavlović;Margrietlaan ;29;;3881 VJ;Putten;06-25345787;9-6-1961;TrpimirPavlovic@armyspy.com;35761945
MJHrabová;marietwee;Marie;J;Hrabová;Baarsdorpsezandweg ;133;;4458 SJ;s-Heer-Arendskerke;06-98676904;7-16-2002;MarieHrabova@einrot.com;37554402
OBMiletić;ognjen;Ognjen;B;Miletić;Terborgseweg ;120;;7005 BB;Doetinchem;06-95336345;5-25-1964;OgnjenMiletic@einrot.com;38901833
HBVervelde;henrie;Henrie;B;Vervelde;Luchtenburg ;94;;4761 MA;Zevenbergen;06-80297176;1-17-1994;HenrieVervelde@cuvox.de;42354754
HKKuželová;hana;Hana;K;Kuželová;Saturnusstraat ;68;;1131 NL;Volendam;06-14650160;4-28-1998;HanaKuzelova@gustr.com;42446430
LMBosanac;luka;Luka;M;Bosanac;Oosteinde ;16;;9079 LE;Sint Jacobiparochie;06-54559392;10-5-1960;LukaBosanac@einrot.com;43572935
IHGrinwis;ivor;Ivor;H;Grinwis;Parallelweg ;32;;5712 GV;Someren;06-20622898;7-29-1967;IvorGrinwis@armyspy.com;43831850
MIJaroš;miroslavtwee;Miroslav;I;Jaroš;Molendijk ;84;;3262 AH;Oud-Beijerland;06-22910546;11-10-1960;MiroslavJaros@teleworm.us;45983471
EHFleming;emke;Emke;H;Fleming;Kievitstraat ;85;;3312 RM;Dordrecht;06-95021459;10-9-1974;EmkeFleming@teleworm.us;46753941
DSIvančić;dubravko;Dubravko;S;Ivančić;Knijpslaan ;61;;9615 BH;Kolham;06-68356183;6-11-1987;DubravkoIvancic@gustr.com;48125520
BDŠarić;berislava;Berislava;D;Šarić;Geerdinkhof ;112;;1103 PS;Amsterdam-Zuidoost;06-47100809;10-11-1942;BerislavaSaric@teleworm.us;49548335
